criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
2;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
3;0.4;1.0;0.1;0.95;0.04;1.0;0.04;1.0;0.8;0.8
4;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
6;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
7;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
8;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
9;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
10;1.0;1.0;0.3;0.85;1.0;1.0;1.0;0.25;0.8;0.2
11;0.8;1.0;0.1;0.95;0.36;1.0;0.36;1.0;0.8;0.8
12;0.8;1.0;0.1;0.95;0.36;1.0;0.36;1.0;0.8;0.8
13;1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
14;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
15;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
16;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
17;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
18;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
19;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
20;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
21;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
22;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
23;0.9;1.0;0.0;1.0;1.0;0.8;0.8;1.0;1.0;1.0
24;0.8;1.0;0.2;0.9;0.36;1.0;0.36;1.0;0.6;0.6
25;1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
26;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
27;1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
28;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
29;1.0;0.8;0.2;0.8;1.0;1.0;1.0;1.0;0.6;0.6
30;0.9;1.0;0.0;1.0;1.0;0.8;0.8;1.0;1.0;1.0
31;0.8;1.0;0.3;0.85;1.0;0.6;0.6;0.25;0.8;0.2
32;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
33;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
34;1.0;1.0;0.1;0.95;1.0;1.0;1.0;1.0;0.8;0.8
35;0.8;1.0;0.7;0.65;0.36;1.0;0.36;0.25;0.8;0.2
36;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
37;1.0;1.0;0.9;0.55;1.0;1.0;1.0;1.0;0.8;0.8
38;0.9;1.0;0.1;0.95;1.0;0.8;0.8;1.0;0.8;0.8
39;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
40;0.6;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
41;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
42;1.0;1.0;0.5;0.75;1.0;1.0;1.0;0.0;0.8;0.0
43;0.8;1.0;0.4;0.8;0.36;1.0;0.36;0.04;1.0;0.04
44;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
45;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
46;0.6;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
47;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
48;0.2;0.8;1.0;0.4;0.36;1.0;0.36;1.0;1.0;1.0
49;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
50;1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
51;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
52;0.8;0.4;0.7;0.35;0.36;1.0;0.36;0.25;0.8;0.2
53;1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
54;1.0;0.5;0.0;0.75;1.0;1.0;1.0;1.0;1.0;1.0
